rank	run_id	checkpoint	checkpoint_exists	checkpoint_size_bytes	checkpoint_sha256	config_exists	config_sha256	metrics_exists	metrics_sha256	best_step	full_mse	pearson
46	rna_seq11_1bpB_broad_w1_anchor_conv5_h128_b128_l2_1e-3_seedrand_6000steps	runs/rna_seq11_1bpB_broad_w1_anchor_conv5_h128_b128_l2_1e-3_seedrand_6000steps/adapter_head_best.pt	True	5664264	7082a1f507e86d0113864a9aea74d764d0c2e2529028bc6253eeb5d227d6ad78	True	b1e7de5f299b1f8815896fa5f96bf8de9992ea5e9d586cddb541988ccc0db3f2	True	d39d71a6481e2b4f4efad9b9a64c389dd7f20ee6e7f29be85adb10605d150529	1250	0.84009036	0.69277873
47	rna_seq11_1bpB_upper_w3_ft_from_w2_resl2_1e-3_lr3e-5_seedrand_1000steps	runs/rna_seq11_1bpB_upper_w3_ft_from_w2_resl2_1e-3_lr3e-5_seedrand_1000steps/adapter_head_best.pt	True	5664200	8e6041558902dfc650a8699bea236fb6408cdc4f37bff302fceff781640b59f6	True	d28572d155ecba550a8cd06faa515ec5e32f68c8451caf6fc5dd4dfc086ae2f5	True	9ac36007e3708b140f441900a26045c5f2ed3e7c396345f0d5a65c416da506e7	500	0.84039217	0.69257366
48	rna_seq11_1bpB_sigweight_fallback_w1_rank1_highgt3x15_a075_b05_lr3e-6_1000steps	runs/rna_seq11_1bpB_sigweight_fallback_w1_rank1_highgt3x15_a075_b05_lr3e-6_1000steps/adapter_head_best.pt	True	5664968	c51fcdf83b978eba8b9698e9a89efa0ea6d26d1add80c287dd4b4edb329fb299	True	8cbc8b915203b22a749c668ec49613cae170ec156c063fc6b3bf3ef9fd2622df	True	cd52067242eb146469d12fa28ed5116d5313b846a339e132d9aafeff4f7c0507	250	0.84062108	0.69566999
49	rna_seq11_1bpB_upper_w2_gate_floor05_from_w1a05lr1e4_seedrand_2000steps	runs/rna_seq11_1bpB_upper_w2_gate_floor05_from_w1a05lr1e4_seedrand_2000steps/adapter_head_best.pt	True	5664200	ced1b81461ec925b8324fb8aca36417cc046c7c42ea3f743a64a4403fafcd980	True	c1f491575eb8d5202019dc0d5b60c029158c78a0f11cd227f2bd8a87f4ef82e4	True	98fe67d4b32aa543bd0083f1e35d432d8f48c7e44dbc0f636917abb496bb86ed	500	0.84092793	0.69191736
50	rna_seq11_1bpB_upper_w1_hybrid_a05_lr1e-4_seedrand_4000steps	runs/rna_seq11_1bpB_upper_w1_hybrid_a05_lr1e-4_seedrand_4000steps/adapter_head_best.pt	True	5664264	f55d3a802893819fceb1b8f553460a1f913dd9f0148b26cf1cb26bbc55578bf3	True	94695652593d42ee1e9e0b841f47220b97360d5908156357b0598216eee5889c	True	c55f6077263868d7c8451c4d64d07c8a7d1f13e55da88abb224f9519d4142f74	500	0.84105524	0.69190756
51	rna_seq11_1bpB_upper_w2_resl2_3e-3_from_w1a05lr1e4_seedrand_2000steps	runs/rna_seq11_1bpB_upper_w2_resl2_3e-3_from_w1a05lr1e4_seedrand_2000steps/adapter_head_best.pt	True	5664200	382dc899a5e61317aa0e58583e7285c3738498e1c5b2466a4c87e5a7ef152a2d	True	f1233bdf5bc73cd6452ec33d265fb9385473b82865eef45950fbee8682ac01f9	True	9b5f4f13d6bc24055bafed6ca7e69d9ee1ae07195ee283df2ed96e87c4b2bf4a	250	0.84108998	0.69200944
52	rna_seq11_1bpB_upper_w1_hybrid_a075_lr1e-4_seedrand_4000steps	runs/rna_seq11_1bpB_upper_w1_hybrid_a075_lr1e-4_seedrand_4000steps/adapter_head_best.pt	True	5664264	f771e5fb3db9baf34540b268ceb596b3852095d6112aaedbb941f6841e6f1502	True	acffa6d0c296cb6dcb077d8c6ca0a6630b7796c090bd94e756b6c7ec1270c5f2	True	59ce0b1a4ce2de913fa4eee0d324414d458fcb5ef615cb0be94f9596bc3576d0	1000	0.84140867	0.69210824
53	rna_seq11_1bpB_upper_w3_resl2_1p5e-3_from_w1a05lr1e4_seedrand_2000steps	runs/rna_seq11_1bpB_upper_w3_resl2_1p5e-3_from_w1a05lr1e4_seedrand_2000steps/adapter_head_best.pt	True	5664200	e83465a634c257b59139c545036b7af4fc237211fa9d5d3cea64d566da19a511	True	a0cbfda0c175b60c823c5797568b3a931c689b6ad6fbc8663ed1e17156736eb4	True	948cd9f41708c8efe3d057b4f14e0a621e85a4234b78d44725beaef8696dbd3e	500	0.84142797	0.69201765
54	rna_seq11_1bpB_sigweight_fallback_w1_rank1_top5x2_a075_b05_lr3e-6_1000steps	runs/rna_seq11_1bpB_sigweight_fallback_w1_rank1_top5x2_a075_b05_lr3e-6_1000steps/adapter_head_best.pt	True	5664968	1bce15c6ebb6f5080ee91c8ed4fb893ddebe34c071b65256ed90a44e5958c6a9	True	959293b57fcff233a8ee46c0127a3b720e3d8402a546d276f9c9470160adac56	True	6e6df5613c25f0c2b1658eeaad79187428aeca01adbc1924dc0e17ae950a4c4c	250	0.84182041	0.69578491
55	rna_seq11_1bpB_upper_w1_hybrid_a05_lr3e-5_seedrand_4000steps	runs/rna_seq11_1bpB_upper_w1_hybrid_a05_lr3e-5_seedrand_4000steps/adapter_head_best.pt	True	5664264	a590ebce7f8e486ea1e39fd92c704dd416af05721fc57869907073f20e3f925a	True	d9c06004b3b4cb9601071817c82ec08d77bf954a75d81a8407aef0da71dc61e7	True	bae9c013f286d73bf7476d18992432ff54baa8ac688853167ad077ccc96303cc	1250	0.84193722	0.69174527
