model	loss	jobs	folds	seeds	mean_primary_biological_score	mean_gene_exon_coverage_pearson_log1p	mean_per_track_pearson_128bp_log1p	mean_paper_loss	mean_log1p_mse	mean_spearman_128bp	mean_top1_mse_128bp	mean_top1_calibration_ratio_128bp	mean_gene_body_mse_log1p_1bp	mean_exon_mse_log1p_1bp	mean_local_gradient_mse_log1p_1bp
A	log1p_mse	15	5	3	0.5382024695345042	0.46525249885203446	0.6111524402169742	18.5736876833391	2.8160788248820476	0.5625481486138899	2688971871.391777	0.01128857725707742	0.2984621106423875	0.5695080816223246	0.002727970998077474
A	paper	15	5	3	0.5154212705022603	0.45533649213887856	0.5755060488656422	18.277581305101695	4.742897901764835	0.5345231334413546	2685179082.971728	0.06170743925891096	0.3091843962352276	0.5833516400609562	0.0029068556452527556
B	log1p_mse	15	5	3	0.6153739319974232	0.5514248152691993	0.6793230487256472	18.232819176534097	2.422752644067787	0.6140150897188089	2687829243.0328693	0.027450914214560182	0.26887910820387184	0.5164220473571531	0.002515640451498415
B	paper	15	5	3	0.6266016255105283	0.5993772753321945	0.6538259756888622	17.850901021440343	3.6995156704661354	0.5938052674709788	2681948911.448027	0.1043187151705361	0.25490153473747357	0.4876224812580479	0.0021945423789281296
C	log1p_mse	15	5	3	0.4586109900757395	0.4021106981345381	0.515111282016941	18.921367857925382	3.280745999880105	0.46214643230408187	2689009945.6332965	0.01019027949762723	0.3339149719227752	0.651888191845563	0.006861994384384507
C	paper	15	5	3	0.48754424944565217	0.45429542153797126	0.520793077353333	18.409833015687013	4.806658211290597	0.47937900070657485	2685514071.0128465	0.05615153259372556	0.31690560158467806	0.5989298699181098	0.009199713104321515
