ablation_id	model	loss	jobs	folds	seeds	mean_primary_biological_score	mean_gene_exon_coverage_pearson_log1p	mean_per_track_pearson_128bp_log1p	mean_paper_loss	mean_log1p_mse	mean_spearman_128bp	mean_top1_mse_128bp	mean_top1_calibration_ratio_128bp	mean_gene_body_mse_log1p_1bp	mean_exon_mse_log1p_1bp	mean_local_gradient_mse_log1p_1bp
no_augmentation	B	paper	5	5	1	0.6336558702327826	0.6045462403885572	0.6627655000770081	16.955085555193087	3.520956600377854	0.6038730309832074	6927502794.851158	0.10402250515414133	0.2648733314861037	0.5074402917577965	0.0024519561834931325
no_gene_loss	B	paper	5	5	1	0.6325896544300466	0.6040344139534016	0.6611448949066915	16.954755311371542	3.5912001557985027	0.6030880720014248	6927396744.773343	0.10577401893747093	0.26675031390009607	0.5094726467884025	0.002443288124827127
whole_I_V_mean	A	paper	5	5	1	0.5110227701943009	0.44218046679555584	0.5798650735930458	16.84355989684519	4.966240026375461	0.5440074897038243	6931243299.460408	0.06517547426497652	0.33729262598042054	0.6344095279839881	0.003258929067611907
