model	loss	folds	mean_five_fold_paper_loss	mean_five_fold_log1p_mse	mean_five_fold_per_track_pearson_128bp
A	log1p_mse	5	17.660519911651466	2.993056339602252	0.6153113478892179
A	paper	5	17.360214975997913	4.965840202548846	0.5801551302532705
B	log1p_mse	5	17.323258178787945	2.470901368542878	0.6853195037856044
B	paper	5	16.955879977825607	3.598759094701515	0.6608471568786247
C	log1p_mse	5	17.999925011940576	3.50437844924979	0.5144368910259693
C	paper	5	17.534927546211204	4.790198576145153	0.5258474635888362
