sample_uid	batch	run_accession	experiment_accession	biosample_accession	sra_sample_accession	bioproject_accession	sra_study_accession	geo_accession	pubmed_id	local_path	local_size_bytes	sha256	sha256_matches_prior_inventory	wbcel235_exact	organism	strain	genotype	sex	tissue_or_cell_type	development_stage	condition	assay	library_source	library_selection	library_layout	mean_read_length_bp_derived	read_length_status	strandedness	biological_replicate	technical_replicate	study_title	provided_data_source	sharepoint_paper_lab	provided_stage	sharepoint_stage	ena_sample_stage	provided_tissue	ena_sample_tissue	bigwig_generator	bigwig_reference_genome	bigwig_aligner	bigwig_generation_command	signal_unit	normalization_class	mathematically_convertible_without_source_reads	read_count	base_count	fastq_available	fastq_md5	fastq_file_bytes	fastq_bytes	fastq_ftp	bam_available	bam_bytes	bam_ftp	ena_query_status	metadata_conflict_flags	metadata_evidence_status	include_formal_v2	exclusion_reason
rna_seq:SRR13757770	sharepoint_2026-07-13_new439	SRR13757770	SRX10144513	SAMN18021514	SRS8297540	PRJNA703543	SRP307349	GSE167167	34737442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13757770.bw	26659064	fc13bf3a0e975b5fcd59b3623b14886678199b2e8562620b8ea3a3ab60974d60	True	True	Caenorhabditis elegans	mutated	mutated		L3 body wall muscle	L3		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	H3K9me blocks transcription factor activity in differentiated cells to ensure tissue integrity [RNA-seq]	PRJNA703543		L3				L3 body wall muscle	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	44223510	2255399010	True	e4a52f710500e485eb584454eb04f309	1261799295	1261799295	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/070/SRR13757770/SRR13757770.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13757771	sharepoint_2026-07-13_new439	SRR13757771	SRX10144514	SAMN18021513	SRS8297541	PRJNA703543	SRP307349	GSE167167	34737442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13757771.bw	30205076	19a951c11129b4b7f41caafea21fe66f9b79f2e6d71ac5c2dcdb05088911f469	True	True	Caenorhabditis elegans	mutated	mutated		L3 body wall muscle	L3		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	H3K9me blocks transcription factor activity in differentiated cells to ensure tissue integrity [RNA-seq]	PRJNA703543		L3				L3 body wall muscle	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	49590246	2529102546	True	8d235856ea4ae846d531fa8bba20b938	1324804739	1324804739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/071/SRR13757771/SRR13757771.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13757772	sharepoint_2026-07-13_new439	SRR13757772	SRX10144515	SAMN18021512	SRS8297542	PRJNA703543	SRP307349	GSE167167	34737442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13757772.bw	31033397	e7bc3afb4d6eaa3a9c4c83ab718379a545948bc101adf199476791d14adf927c	True	True	Caenorhabditis elegans	mutated+treated	mutated+treated		L3 body wall muscle	L3		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	H3K9me blocks transcription factor activity in differentiated cells to ensure tissue integrity [RNA-seq]	PRJNA703543		L3				L3 body wall muscle	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	49717417	2535588267	True	729dd4aa54b5314b8338efb1c179193e	1332803880	1332803880	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/072/SRR13757772/SRR13757772.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13757773	sharepoint_2026-07-13_new439	SRR13757773	SRX10144516	SAMN18021511	SRS8297543	PRJNA703543	SRP307349	GSE167167	34737442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13757773.bw	21057132	e2fe233b9f6e069a535382ffb0974a1c8592062edd61f8467ed5bb241d1491a1	True	True	Caenorhabditis elegans	mutated+treated	mutated+treated		L3 body wall muscle	L3		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	H3K9me blocks transcription factor activity in differentiated cells to ensure tissue integrity [RNA-seq]	PRJNA703543		L3				L3 body wall muscle	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	25351210	1292911710	True	5eb39619578649dd4156e309e22aeee0	946501926	946501926	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/073/SRR13757773/SRR13757773.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964554	sharepoint_2026-07-13_new439	SRR13964554	SRX10342559	SAMN18313039	SRS8461755	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964554.bw	58293040	8422277939b1a41f7c44fe783d293e2204b0bd157984178aad42c268d6929180	True	True	Caenorhabditis elegans	N2 (Bristol)	WT		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	90275346	4604042646	True	7e8254135ffbbe03cadd842f3cba1f47	2737337580	2737337580	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/054/SRR13964554/SRR13964554.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964555	sharepoint_2026-07-13_new439	SRR13964555	SRX10342560	SAMN18313038	SRS8461756	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964555.bw	50110355	886da97271d0fe93ba8e57d526eca4da580563b89f502358b3fae2356507c768	True	True	Caenorhabditis elegans	N2 (Bristol)	WT		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	73390372	3742908972	True	3f1a76a81bbb14840954e81715d201e3	2223130098	2223130098	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/055/SRR13964555/SRR13964555.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964556	sharepoint_2026-07-13_new439	SRR13964556	SRX10342546	SAMN18313037	SRS8461742	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964556.bw	50223295	a26ae684bf43d13f33579bdb476a5361bc204802b74baea89fd28a52a01fa7e1	True	True	Caenorhabditis elegans	N2 (Bristol)	WT		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	71468591	3644898141	True	8f478540d908d5ff29d50e502cca037d	2174655019	2174655019	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/056/SRR13964556/SRR13964556.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964557	sharepoint_2026-07-13_new439	SRR13964557	SRX10342547	SAMN18313036	SRS8461743	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964557.bw	43247713	d09303a534490d7b3f0ffc260d12a719c900053917de880828dc3814a89b29a9	True	True	Caenorhabditis elegans	N2 (Bristol)	treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	23567981	1201967031	True	1152bf4bdd60e644e35e41c9f71de0f4	734251839	734251839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/057/SRR13964557/SRR13964557.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964558	sharepoint_2026-07-13_new439	SRR13964558	SRX10342547	SAMN18313036	SRS8461743	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964558.bw	43237214	6ab8c4f6a53ad2c2ffd8e89da6e8913e1997952175b33790ee552a677d6befc3	True	True	Caenorhabditis elegans	N2 (Bristol)	treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	23559228	1201520628	True	f36f15aa20fd8082c902f324ac14668e	733748099	733748099	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/058/SRR13964558/SRR13964558.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964559	sharepoint_2026-07-13_new439	SRR13964559	SRX10342548	SAMN18313035	SRS8461744	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964559.bw	42032174	91e016973cafff86dcadeb9200cdbe28f50bac12055a45fc3b3eaec526c0802d	True	True	Caenorhabditis elegans	N2 (Bristol)	treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	23379906	1192375206	True	437d0f141e3e5da45ec7f7b6fe3c27dc	726663050	726663050	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/059/SRR13964559/SRR13964559.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964560	sharepoint_2026-07-13_new439	SRR13964560	SRX10342548	SAMN18313035	SRS8461744	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964560.bw	42006149	885fb2c54031c6bcb8e5394a2e3bd5e68bdf1a89edf3531b49fbd9f9f0894466	True	True	Caenorhabditis elegans	N2 (Bristol)	treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	23347667	1190731017	True	6be27494b60234786ea298a00f7aeea1	725397175	725397175	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/060/SRR13964560/SRR13964560.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964561	sharepoint_2026-07-13_new439	SRR13964561	SRX10342549	SAMN18313034	SRS8461745	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964561.bw	41497612	acadedc0579ce43cad10cd1871f364e8c709e9e582581afefe7a126d0c0d2da0	True	True	Caenorhabditis elegans	N2 (Bristol)	treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	21115063	1076868213	True	222aaea540e554e5d014f56f3af3686b	664412732	664412732	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/061/SRR13964561/SRR13964561.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964562	sharepoint_2026-07-13_new439	SRR13964562	SRX10342549	SAMN18313034	SRS8461745	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964562.bw	41478118	00256ead4ee69dc822f7917923107bd540a870cc8a5e0f5dc88eae55ad0f327f	True	True	Caenorhabditis elegans	N2 (Bristol)	treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	21092681	1075726731	True	71bc2dbd59e432661feedfb74d6d1cc2	663473612	663473612	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/062/SRR13964562/SRR13964562.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964563	sharepoint_2026-07-13_new439	SRR13964563	SRX10342550	SAMN18313033	SRS8461746	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964563.bw	38212016	970fd179305137973fc211793f44040586ec6e1732008313cf5a10d14fd12039	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20327363	1036695513	True	d8e7b253121d4f33333820ce78d8da79	637729312	637729312	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/063/SRR13964563/SRR13964563.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964564	sharepoint_2026-07-13_new439	SRR13964564	SRX10342550	SAMN18313033	SRS8461746	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964564.bw	38184128	17874c0ef6fea8c544d5f761d89c336d421f4a697354bb10e8c68238df6171ad	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20288137	1034694987	True	527b7f05d1ec630add57e0259d880ae2	636385647	636385647	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/064/SRR13964564/SRR13964564.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964565	sharepoint_2026-07-13_new439	SRR13964565	SRX10342551	SAMN18313032	SRS8461747	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964565.bw	38004164	f465fc2095c9d8a0a08698580372f41947b5a11afc3b76be5eb669a37721f4c0	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20523614	1046704314	True	3d0c20fe0515d1bb72b46d1c1f4d23f1	645831167	645831167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/065/SRR13964565/SRR13964565.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964566	sharepoint_2026-07-13_new439	SRR13964566	SRX10342551	SAMN18313032	SRS8461747	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964566.bw	37994319	a010c045a04c6f8f51826f4f8889c1d11c3857ef6b0629ecbba35e387f5c5e2a	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20502586	1045631886	True	8160be18f854834de58249e531a34503	644846916	644846916	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/066/SRR13964566/SRR13964566.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964567	sharepoint_2026-07-13_new439	SRR13964567	SRX10342552	SAMN18313031	SRS8461749	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964567.bw	33513903	96bdf9ea7f0f868dc90115e96d00870edb565b6be6cc5950ead3faefbde8f507	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	19983192	1019142792	True	2fe5a848d275762e6f1fa56457ca9c71	593716788	593716788	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/067/SRR13964567/SRR13964567.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964568	sharepoint_2026-07-13_new439	SRR13964568	SRX10342552	SAMN18313031	SRS8461749	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964568.bw	33461655	9fbca89db945c87e6f52d0380dfde835b4e26ef7293156ef94d9d553861c0227	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	19965264	1018228464	True	e0de46064d1e1b87e3e4e0c9cf2e0308	593038831	593038831	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/068/SRR13964568/SRR13964568.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964569	sharepoint_2026-07-13_new439	SRR13964569	SRX10342553	SAMN18313030	SRS8461748	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964569.bw	33243011	2547b3cd408012b80e343078320810ff53dfb7241cd3abe1d34ab26fbb285e1e	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated+treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	18316350	934133850	True	e48dcfc587a1e59d8f8a8813de4351d1	554110479	554110479	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/069/SRR13964569/SRR13964569.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964570	sharepoint_2026-07-13_new439	SRR13964570	SRX10342553	SAMN18313030	SRS8461748	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964570.bw	33245971	9340499ded82a3781c088262bc0fb9403aeb712cb0c6ae48f5520cb1966f142d	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated+treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	18310432	933832032	True	9f1352d6e4d89a8d4d3114573877cdc9	553866392	553866392	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/070/SRR13964570/SRR13964570.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964571	sharepoint_2026-07-13_new439	SRR13964571	SRX10342554	SAMN18313029	SRS8461750	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964571.bw	36044772	9477c1246b0aefcfdf413f4f7034bfb53995435cb2d8e857199dda7b224137c4	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated+treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20040470	1022063970	True	b111774e4cd07fdf154c6273e6e367e2	613439466	613439466	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/071/SRR13964571/SRR13964571.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964572	sharepoint_2026-07-13_new439	SRR13964572	SRX10342554	SAMN18313029	SRS8461750	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964572.bw	36038524	89c219796d2cfd41b98d72817e87c0e361ea9e14799dd02a788407a8c82d4fe5	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated+treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20031573	1021610223	True	9e7dce1fbec31a1951ddeecac61c3dc7	613018464	613018464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/072/SRR13964572/SRR13964572.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964573	sharepoint_2026-07-13_new439	SRR13964573	SRX10342555	SAMN18313028	SRS8461751	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964573.bw	30847262	b0c6248a8b4c9b395e987e0780e03b3f794ab654a486c6fc75a3dc7edbfc8403	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated+treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20943294	1068107994	True	bb55b270292f059007ebdfd5932a92b6	595465680	595465680	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/073/SRR13964573/SRR13964573.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR13964574	sharepoint_2026-07-13_new439	SRR13964574	SRX10342555	SAMN18313028	SRS8461751	PRJNA714608	SRP310676	GSE168924	35102319	shared/sharepoint_2026-07-13/training_input_bigwig/SRR13964574.bw	30848157	73df99e9ecda06264bf2f75a17c38033a9c5ad19cad55ee80e5f32e52fe5407e	True	True	Caenorhabditis elegans	met-2(n4256) III	mutated+treated		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	A structural role for histone methyltransferase MET-2 represses transcription independent of H3K9me catalysis [RNA-seq]	PRJNA714608		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20914847	1066657197	True	d0eadc0dbdb1a425e67a77ae09aef49a	594535109	594535109	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/074/SRR13964574/SRR13964574.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
