model	loss	jobs	folds	seeds	mean_primary_biological_score	mean_gene_exon_coverage_pearson_log1p	mean_per_track_pearson_128bp_log1p	mean_paper_loss	mean_log1p_mse	mean_spearman_128bp	mean_top1_mse_128bp	mean_top1_calibration_ratio_128bp	mean_gene_body_mse_log1p_1bp	mean_exon_mse_log1p_1bp	mean_local_gradient_mse_log1p_1bp
A	log1p_mse	15	5	3	0.5366161705085285	0.4574700244475214	0.6157623165695355	17.666352917242573	2.977905327558199	0.5705902660089435	6935722118.5918455	0.010940241197228995	0.32328837105635283	0.6202667768163581	0.0029783828523138865
A	paper	15	5	3	0.5103150741904716	0.44108019208391597	0.5795499562970274	17.360714155065846	4.883831648546239	0.5429649026162319	6931384750.101236	0.06208971708182218	0.3362135543657615	0.6339848859552623	0.003237836141195919
B	log1p_mse	15	5	3	0.619012149083166	0.5539517632286934	0.6840725349376385	17.34906186980985	2.4845080465046196	0.6193202882532296	6934604225.481234	0.024548743495923384	0.2845101577997827	0.545746525949594	0.0028871928160414625
B	paper	15	5	3	0.6322474761216197	0.6042942527485751	0.6602006994946643	16.954765716942298	3.5997652013394275	0.602149172478615	6927713059.926288	0.10079692286519144	0.264675347690923	0.5070828507425468	0.002454821082102672
C	log1p_mse	15	5	3	0.44783223367628566	0.3814697129419441	0.5141947544106273	18.02578331917641	3.502845569575554	0.46882108788350696	6935791458.422933	0.0097077390728038	0.3648218999754303	0.7152032458382911	0.007551599897815882
C	paper	15	5	3	0.48200091859628635	0.4402848809265478	0.523716956266025	17.508973839807034	4.75983292032984	0.4872713666946391	6932317024.043672	0.04493185821379549	0.339639158566171	0.6512392500265659	0.009299336752569071
